,0
0,Finland
1,Sweden
2,Norway
3,United Kingdom
4,Ireland
5,Northern Ireland
6,Iceland
7,Portugal
8,Spain
9,France
10,Germany
11,Switzerland
12,Austria
13,Slovakia
14,Poland
15,Slovenia
16,Croatia
17,Bosnia & Herzegovina
18,Serbia
19,Montenegro
20,Albania
21,Macedonia
22,Bulgaria
23,Greece
24,Turkey
25,Ukraine
26,Belarus
27,Lithuania
28,Latvia
29,Estonia
30,Italy
31,San Marino
32,Vatican
33,Malta
34,Cyprus
35,Northern Cyprus
36,Moldova
37,Romania
38,Hungary
39,Russia
40,Belgium
41,Liechtenstein
