state,x,y
Finland, 13.0, 170.0
Sweden, -58.0, 155.0
Norway, -104.0, 129.0
United Kingdom, -209.0, 8.0
Ireland, -267.0, 26.0
Northern Ireland, -247.0, 49.0
Denmark, -102.0, 54.0
Iceland, -286.0, 228.0
Portugal, -311.0, -163.0
Spain, -259.0, -192.0
France, -179.0, -100.0
Germany, -107.0, -15.0
Luxembourg, -137.0, 37.0
Switzerland, -116.0, -93.0
Austria, -45.0, -83.0
Czech Republic, -43.0, -44.0
Slovakia, 3.0, -57.0
Poland, -7.0, -4.0
Slovenia, -44.0, -105.0
Croatia, -35.0, -120.0
Bosnia & Herzegovina, 125.0, -128.0
Serbia, 26.0, -123.0
Montenegro, 12.0, -151.0
Albania, 26.0, -177.0
Macedonia, 41.0, -166.0
Bulgaria, 78.0, -143.0
Greece, 53.0, -195.0
Turkey, 193.0, -174.0
Ukraine, 114.0, -20.0
Belarus, 75.0, 35.0
Lithuania, 33.0, 55.0
Latvia, 37.0, 80.0
Estonia, 34.0, 112.0
Italy, -27.0, -184.0
San Marino, -28.0, -160.0
Vatican, -57.0, -212.0
Malta, -58.0, -263.0
Cyprus, 205.0, -241.0
Northern Cyprus, 215.0, -228.0
Moldova, 106.0, -60.0
Romania, 71.0, -95.0
Hungary, 5.0, -82.0
Russia, 172.0, 89.0
Belgium,-154.0,-28.0
Monaco,-156.0,-186.0
Andorra,-196.0,-204.0
Liechtenstein,-98.0,-154.0
